2023-04-05 15:50:04,185 ['-6.64', '-30.82', '-35.65']
2023-04-05 15:50:04,185 ['-6.64', '-30.82', '-35.65']
2023-04-05 15:50:05,144 ['-6.55', '-30.55', '-35.55']
2023-04-05 15:50:05,144 ['-6.55', '-30.55', '-35.55']
2023-04-05 15:50:05,144 ['-6.55', '-30.55', '-35.55']
2023-04-05 15:50:05,254 ['-6.36', '-30.73', '-35.24']
2023-04-05 15:50:05,254 ['-6.36', '-30.73', '-35.24']
2023-04-05 15:50:05,254 ['-6.36', '-30.73', '-35.24']
2023-04-05 15:50:05,270 ['-6.45', '-30.91', '-35.45']
2023-04-05 15:50:05,270 ['-6.45', '-30.91', '-35.45']
2023-04-05 15:50:05,270 ['-6.45', '-30.91', '-35.45']
2023-04-05 15:50:06,223 ['-6.73', '-30.73', '-35.04']
2023-04-05 15:50:06,223 ['-6.73', '-30.73', '-35.04']
2023-04-05 15:50:06,223 ['-6.73', '-30.73', '-35.04']
2023-04-05 15:50:06,333 ['-6.55', '-30.73', '-35.45']
2023-04-05 15:50:06,333 ['-6.55', '-30.73', '-35.45']
2023-04-05 15:50:06,333 ['-6.55', '-30.73', '-35.45']
2023-04-05 15:50:06,360 ['-6.36', '-30.73', '-35.14']
2023-04-05 15:50:06,360 ['-6.36', '-30.73', '-35.14']
2023-04-05 15:50:06,360 ['-6.36', '-30.73', '-35.14']
2023-04-05 15:50:07,306 ['-6.55', '-30.55', '-35.45']
2023-04-05 15:50:07,306 ['-6.55', '-30.55', '-35.45']
2023-04-05 15:50:07,306 ['-6.55', '-30.55', '-35.45']
2023-04-05 15:50:07,417 ['-6.45', '-30.45', '-35.65']
2023-04-05 15:50:07,417 ['-6.45', '-30.45', '-35.65']
2023-04-05 15:50:07,417 ['-6.45', '-30.45', '-35.65']
2023-04-05 15:50:07,446 ['-6.55', '-30.55', '-35.35']
2023-04-05 15:50:07,446 ['-6.55', '-30.55', '-35.35']
2023-04-05 15:50:07,446 ['-6.55', '-30.55', '-35.35']
2023-04-05 15:50:08,380 ['-6.55', '-30.82', '-35.45']
2023-04-05 15:50:08,380 ['-6.55', '-30.82', '-35.45']
2023-04-05 15:50:08,380 ['-6.55', '-30.82', '-35.45']
2023-04-05 15:50:08,502 ['-6.45', '-30.82', '-35.55']
2023-04-05 15:50:08,502 ['-6.45', '-30.82', '-35.55']
2023-04-05 15:50:08,502 ['-6.45', '-30.82', '-35.55']
2023-04-05 15:50:08,527 ['-6.73', '-30.73', '-35.45']
2023-04-05 15:50:08,527 ['-6.73', '-30.73', '-35.45']
2023-04-05 15:50:08,527 ['-6.73', '-30.73', '-35.45']
2023-04-05 15:50:09,456 ['-6.27', '-30.36', '-36.06']
2023-04-05 15:50:09,456 ['-6.27', '-30.36', '-36.06']
2023-04-05 15:50:09,456 ['-6.27', '-30.36', '-36.06']
2023-04-05 15:50:09,587 ['-6.73', '-30.64', '-35.76']
2023-04-05 15:50:09,587 ['-6.73', '-30.64', '-35.76']
2023-04-05 15:50:09,587 ['-6.73', '-30.64', '-35.76']
2023-04-05 15:50:09,620 ['-6.64', '-30.55', '-35.86']
2023-04-05 15:50:09,620 ['-6.64', '-30.55', '-35.86']
2023-04-05 15:50:09,620 ['-6.64', '-30.55', '-35.86']
2023-04-05 15:50:10,533 ['-6.73', '-30.73', '-35.55']
2023-04-05 15:50:10,533 ['-6.73', '-30.73', '-35.55']
2023-04-05 15:50:10,533 ['-6.73', '-30.73', '-35.55']
2023-04-05 15:50:10,669 ['-6.55', '-30.73', '-35.86']
2023-04-05 15:50:10,669 ['-6.55', '-30.73', '-35.86']
2023-04-05 15:50:10,669 ['-6.55', '-30.73', '-35.86']
2023-04-05 15:50:10,710 ['-6.73', '-31.09', '-35.45']
2023-04-05 15:50:10,710 ['-6.73', '-31.09', '-35.45']
2023-04-05 15:50:10,710 ['-6.73', '-31.09', '-35.45']
2023-04-05 15:50:11,614 ['-6.55', '-30.55', '-35.86']
2023-04-05 15:50:11,614 ['-6.55', '-30.55', '-35.86']
2023-04-05 15:50:11,614 ['-6.55', '-30.55', '-35.86']
2023-04-05 15:50:11,755 ['-6.91', '-30.55', '-35.55']
2023-04-05 15:50:11,755 ['-6.91', '-30.55', '-35.55']
2023-04-05 15:50:11,755 ['-6.91', '-30.55', '-35.55']
2023-04-05 15:50:11,791 ['-6.55', '-30.45', '-36.06']
2023-04-05 15:50:11,791 ['-6.55', '-30.45', '-36.06']
2023-04-05 15:50:11,791 ['-6.55', '-30.45', '-36.06']
2023-04-05 15:50:12,692 ['-6.36', '-30.64', '-35.55']
2023-04-05 15:50:12,692 ['-6.36', '-30.64', '-35.55']
2023-04-05 15:50:12,692 ['-6.36', '-30.64', '-35.55']
2023-04-05 15:50:12,835 ['-6.55', '-30.36', '-35.65']
2023-04-05 15:50:12,835 ['-6.55', '-30.36', '-35.65']
2023-04-05 15:50:12,835 ['-6.55', '-30.36', '-35.65']
2023-04-05 15:50:12,883 ['-6.09', '-30.73', '-35.65']
2023-04-05 15:50:12,883 ['-6.09', '-30.73', '-35.65']
2023-04-05 15:50:12,883 ['-6.09', '-30.73', '-35.65']
2023-04-05 15:50:13,770 ['-6.55', '-30.91', '-35.65']
2023-04-05 15:50:13,770 ['-6.55', '-30.91', '-35.65']
2023-04-05 15:50:13,770 ['-6.55', '-30.91', '-35.65']
2023-04-05 15:50:13,933 ['-6.82', '-30.91', '-35.76']
2023-04-05 15:50:13,933 ['-6.82', '-30.91', '-35.76']
2023-04-05 15:50:13,933 ['-6.82', '-30.91', '-35.76']
2023-04-05 15:50:13,957 ['-6.27', '-30.27', '-36.06']
2023-04-05 15:50:13,957 ['-6.27', '-30.27', '-36.06']
2023-04-05 15:50:13,957 ['-6.27', '-30.27', '-36.06']
2023-04-05 15:50:14,851 ['-6.55', '-30.64', '-35.65']
2023-04-05 15:50:14,851 ['-6.55', '-30.64', '-35.65']
2023-04-05 15:50:14,851 ['-6.55', '-30.64', '-35.65']
2023-04-05 15:50:15,018 ['-6.73', '-30.91', '-35.65']
2023-04-05 15:50:15,018 ['-6.73', '-30.91', '-35.65']
2023-04-05 15:50:15,018 ['-6.73', '-30.91', '-35.65']
2023-04-05 15:50:15,047 ['-6.55', '-30.82', '-35.65']
2023-04-05 15:50:15,047 ['-6.55', '-30.82', '-35.65']
2023-04-05 15:50:15,047 ['-6.55', '-30.82', '-35.65']
2023-04-05 15:50:15,926 ['-6.82', '-30.64', '-35.76']
2023-04-05 15:50:15,926 ['-6.82', '-30.64', '-35.76']
2023-04-05 15:50:15,926 ['-6.82', '-30.64', '-35.76']
2023-04-05 15:50:16,099 ['-6.73', '-30.55', '-35.96']
2023-04-05 15:50:16,099 ['-6.73', '-30.55', '-35.96']
2023-04-05 15:50:16,099 ['-6.73', '-30.55', '-35.96']
2023-04-05 15:50:16,140 ['-6.91', '-30.64', '-35.65']
2023-04-05 15:50:16,140 ['-6.91', '-30.64', '-35.65']
2023-04-05 15:50:16,140 ['-6.91', '-30.64', '-35.65']
2023-04-05 16:15:59,329 ['-6.09', '-30.64', '-37.18']
2023-04-05 16:15:59,329 ['-6.09', '-30.64', '-37.18']
2023-04-05 16:15:59,329 ['-6.09', '-30.64', '-37.18']
2023-04-05 16:15:59,349 ['-6.00', '-30.55', '-37.18']
2023-04-05 16:15:59,349 ['-6.00', '-30.55', '-37.18']
2023-04-05 16:15:59,349 ['-6.00', '-30.55', '-37.18']
2023-04-05 16:15:59,388 ['-6.00', '-30.91', '-36.88']
2023-04-05 16:15:59,388 ['-6.00', '-30.91', '-36.88']
2023-04-05 16:15:59,388 ['-6.00', '-30.91', '-36.88']
2023-04-05 16:16:04,697 ['-5.82', '-31.00', '-36.57']
2023-04-05 16:16:04,697 ['-5.82', '-31.00', '-36.57']
2023-04-05 16:16:04,697 ['-5.82', '-31.00', '-36.57']
2023-04-05 16:16:04,699 ['-5.91', '-30.64', '-36.98']
2023-04-05 16:16:04,699 ['-5.91', '-30.64', '-36.98']
2023-04-05 16:16:04,699 ['-5.91', '-30.64', '-36.98']
2023-04-05 16:16:04,789 ['-6.00', '-30.91', '-36.67']
2023-04-05 16:16:04,789 ['-6.00', '-30.91', '-36.67']
2023-04-05 16:16:04,789 ['-6.00', '-30.91', '-36.67']
2023-04-05 16:16:10,044 ['-5.91', '-30.64', '-37.18']
2023-04-05 16:16:10,044 ['-5.91', '-30.64', '-37.18']
2023-04-05 16:16:10,044 ['-5.91', '-30.64', '-37.18']
2023-04-05 16:16:10,080 ['-6.00', '-30.82', '-37.39']
2023-04-05 16:16:10,080 ['-6.00', '-30.82', '-37.39']
2023-04-05 16:16:10,080 ['-6.00', '-30.82', '-37.39']
2023-04-05 16:16:10,181 ['-5.73', '-30.73', '-37.29']
2023-04-05 16:16:10,181 ['-5.73', '-30.73', '-37.29']
2023-04-05 16:16:10,181 ['-5.73', '-30.73', '-37.29']
2023-04-05 16:16:15,397 ['-5.64', '-30.73', '-37.18']
2023-04-05 16:16:15,397 ['-5.64', '-30.73', '-37.18']
2023-04-05 16:16:15,397 ['-5.64', '-30.73', '-37.18']
2023-04-05 16:16:15,462 ['-6.00', '-30.55', '-37.18']
2023-04-05 16:16:15,462 ['-6.00', '-30.55', '-37.18']
2023-04-05 16:16:15,462 ['-6.00', '-30.55', '-37.18']
2023-04-05 16:16:15,569 ['-6.00', '-30.82', '-37.29']
2023-04-05 16:16:15,569 ['-6.00', '-30.82', '-37.29']
2023-04-05 16:16:15,569 ['-6.00', '-30.82', '-37.29']
2023-04-05 16:16:20,750 ['-5.91', '-30.91', '-38.00']
2023-04-05 16:16:20,750 ['-5.91', '-30.91', '-38.00']
2023-04-05 16:16:20,750 ['-5.91', '-30.91', '-38.00']
2023-04-05 16:16:20,840 ['-5.55', '-31.09', '-37.80']
2023-04-05 16:16:20,840 ['-5.55', '-31.09', '-37.80']
2023-04-05 16:16:20,840 ['-5.55', '-31.09', '-37.80']
2023-04-05 16:16:20,950 ['-6.00', '-30.91', '-37.80']
2023-04-05 16:16:20,950 ['-6.00', '-30.91', '-37.80']
2023-04-05 16:16:20,950 ['-6.00', '-30.91', '-37.80']
2023-04-05 16:16:26,092 ['-5.91', '-30.82', '-38.10']
2023-04-05 16:16:26,092 ['-5.91', '-30.82', '-38.10']
2023-04-05 16:16:26,092 ['-5.91', '-30.82', '-38.10']
2023-04-05 16:16:26,230 ['-5.64', '-30.73', '-37.90']
2023-04-05 16:16:26,230 ['-5.64', '-30.73', '-37.90']
2023-04-05 16:16:26,230 ['-5.64', '-30.73', '-37.90']
2023-04-05 16:16:26,345 ['-6.09', '-30.82', '-37.80']
2023-04-05 16:16:26,345 ['-6.09', '-30.82', '-37.80']
2023-04-05 16:16:26,345 ['-6.09', '-30.82', '-37.80']
2023-04-05 16:16:31,452 ['-5.91', '-30.82', '-37.39']
2023-04-05 16:16:31,452 ['-5.91', '-30.82', '-37.39']
2023-04-05 16:16:31,452 ['-5.91', '-30.82', '-37.39']
2023-04-05 16:16:31,608 ['-6.00', '-30.73', '-37.29']
2023-04-05 16:16:31,608 ['-6.00', '-30.73', '-37.29']
2023-04-05 16:16:31,608 ['-6.00', '-30.73', '-37.29']
2023-04-05 16:16:31,739 ['-6.09', '-30.91', '-37.49']
2023-04-05 16:16:31,739 ['-6.09', '-30.91', '-37.49']
2023-04-05 16:16:31,739 ['-6.09', '-30.91', '-37.49']
2023-04-05 16:16:36,805 ['-6.00', '-30.91', '-37.69']
2023-04-05 16:16:36,805 ['-6.00', '-30.91', '-37.69']
2023-04-05 16:16:36,805 ['-6.00', '-30.91', '-37.69']
2023-04-05 16:16:36,990 ['-5.91', '-30.91', '-37.49']
2023-04-05 16:16:36,990 ['-5.91', '-30.91', '-37.49']
2023-04-05 16:16:36,990 ['-5.91', '-30.91', '-37.49']
2023-04-05 16:16:37,133 ['-5.82', '-30.55', '-37.69']
2023-04-05 16:16:37,133 ['-5.82', '-30.55', '-37.69']
2023-04-05 16:16:37,133 ['-5.82', '-30.55', '-37.69']
2023-04-05 16:16:42,162 ['-5.82', '-30.73', '-38.10']
2023-04-05 16:16:42,162 ['-5.82', '-30.73', '-38.10']
2023-04-05 16:16:42,162 ['-5.82', '-30.73', '-38.10']
2023-04-05 16:16:42,371 ['-6.00', '-30.82', '-37.59']
2023-04-05 16:16:42,371 ['-6.00', '-30.82', '-37.59']
2023-04-05 16:16:42,371 ['-6.00', '-30.82', '-37.59']
2023-04-05 16:16:42,519 ['-5.82', '-30.73', '-37.69']
2023-04-05 16:16:42,519 ['-5.82', '-30.73', '-37.69']
2023-04-05 16:16:42,519 ['-5.82', '-30.73', '-37.69']
2023-04-05 16:16:47,519 ['-5.91', '-30.82', '-38.00']
2023-04-05 16:16:47,519 ['-5.91', '-30.82', '-38.00']
2023-04-05 16:16:47,519 ['-5.91', '-30.82', '-38.00']
2023-04-05 16:16:47,741 ['-6.00', '-30.91', '-38.20']
2023-04-05 16:16:47,741 ['-6.00', '-30.91', '-38.20']
2023-04-05 16:16:47,741 ['-6.00', '-30.91', '-38.20']
2023-04-05 16:16:47,909 ['-5.91', '-30.73', '-38.10']
2023-04-05 16:16:47,909 ['-5.91', '-30.73', '-38.10']
2023-04-05 16:16:47,909 ['-5.91', '-30.73', '-38.10']
2023-04-05 16:16:52,873 ['-5.82', '-30.73', '-37.90']
2023-04-05 16:16:52,873 ['-5.82', '-30.73', '-37.90']
2023-04-05 16:16:52,873 ['-5.82', '-30.73', '-37.90']
2023-04-05 16:16:53,122 ['-5.91', '-31.00', '-37.69']
2023-04-05 16:16:53,122 ['-5.91', '-31.00', '-37.69']
2023-04-05 16:16:53,122 ['-5.91', '-31.00', '-37.69']
2023-04-05 16:16:53,303 ['-5.82', '-30.91', '-37.69']
2023-04-05 16:16:53,303 ['-5.82', '-30.91', '-37.69']
2023-04-05 16:16:53,303 ['-5.82', '-30.91', '-37.69']
2023-04-05 16:16:58,221 ['-5.91', '-30.82', '-38.00']
2023-04-05 16:16:58,221 ['-5.91', '-30.82', '-38.00']
2023-04-05 16:16:58,221 ['-5.91', '-30.82', '-38.00']
2023-04-05 16:16:58,506 ['-5.91', '-30.73', '-37.69']
2023-04-05 16:16:58,506 ['-5.91', '-30.73', '-37.69']
2023-04-05 16:16:58,506 ['-5.91', '-30.73', '-37.69']
2023-04-05 16:16:58,698 ['-5.82', '-30.64', '-37.69']
2023-04-05 16:16:58,698 ['-5.82', '-30.64', '-37.69']
2023-04-05 16:16:58,698 ['-5.82', '-30.64', '-37.69']
2023-04-05 16:17:03,591 ['-5.73', '-30.82', '-37.69']
2023-04-05 16:17:03,591 ['-5.73', '-30.82', '-37.69']
2023-04-05 16:17:03,591 ['-5.73', '-30.82', '-37.69']
2023-04-05 16:17:03,871 ['-5.91', '-30.82', '-38.00']
2023-04-05 16:17:03,871 ['-5.91', '-30.82', '-38.00']
2023-04-05 16:17:03,871 ['-5.91', '-30.82', '-38.00']
2023-04-05 16:17:04,091 ['-5.73', '-30.64', '-38.00']
2023-04-05 16:17:04,091 ['-5.73', '-30.64', '-38.00']
2023-04-05 16:17:04,091 ['-5.73', '-30.64', '-38.00']
2023-04-05 16:17:08,957 ['-5.64', '-30.73', '-38.00']
2023-04-05 16:17:08,957 ['-5.64', '-30.73', '-38.00']
2023-04-05 16:17:08,957 ['-5.64', '-30.73', '-38.00']
